Mountain,Metres,Feet,Range,Location and Notes
Gyachung Kang,7952,26089,Himalayas,Nepal (Khumbu)/China
Gasherbrum III,7952,26089,Karakoram,Pakistan
Annapurna II,7937,26040,Himalayas,Nepal
Gasherbrum IV (K3),7932,26024,Karakoram,Pakistan
Himalchuli,7893,25896,Himalayas,Manaslu Nepal
Distaghil Sar,7885,25869,Karakoram,Pakistan
Ngadi Chuli,7871,25823,Himalayas,Manaslu Nepal
Nuptse,7861,25791,Himalayas,Everest Massif Nepal
Khunyang Chhish,7852,25761,Karakoram,Pakistan
Masherbrum (K1),7821,25659,Karakoram,Pakistan - Originally named K1
Nanda Devi,7816,25643,Himalayas,India (Uttarakhand)
Chomo Lonzo,7804,25604,Himalayas,Makalu Massiff Nepal/China
Batura Sar,7795,25574,Karakoram,Pakistan
Kanjut Sar,7790,25558,Karakoram,Pakistan
Rakaposhi,7788,25551,Karakoram,Pakistan
Namcha Barwa,7782,25531,Himalayas,China
Batura II,7762,25466,Karakoram,Pakistan
Kamet,7756,25446,Himalayas,India (Uttarakhand)
Saltoro Kangri,7742,25400,Karakoram,India (Ladakh)
Batura III,7729,25358,Karakoram,Pakistan
Jannu,7710,25295,Himalayas,Kangchenjunga Nepal
Tirich Mir,7708,25289,Hindu Kush,Pakistan - #1 in Hindu Kush
Molamenqing,7703,25272,Himalayas,Shishapangma group China
Gurla Mandhata,7694,25243,Himalayas (Nalakankar),China
Saser Kangri,7672,25171,Karakoram,India (Ladakh)
Chogolisa,7665,25148,Karakoram,Pakistan
Kongur Tagh,7649,25095,Pamir or Kunlun Mountains,China
Shispare,7611,24970,Karakoram,Pakistan
Silberzacken,7597,24925,Himalaya,Pakistan
Changtse,7583,24879,Himalayas,Everest Massif China
Trivor,7577,24859,Karakoram,Karakoram - Pakistan
Gangkhar Puensum,7570,24836,Himalayas,Bhutan/China
Gongga Shan,7556,24790,Daxue Shan,Sichuan China
Annapurna III,7555,24787,Himalayas,Nepal
Kula Kangri,7554,24783,Himalayas,China (possibly also Bhutan)
Skyang Kangri,7545,24754,Karakoram,Pakistan
Liankang Kangri,7535,24721,Himalayas,Bhutan/China
Yukshin Gardan Sar,7530,24705,Karakoram,Pakistan
Annapurna IV,7525,24688,Himalayas,Nepal
Saser Kangri II,7518,24665,Karakoram,India (Ladakh)
Mamostong Kangri,7516,24659,Karakoram,India (Ladakh)
Muztagh Ata,7509,24636,Pamir or Kunlun Mountains,China (Xinjiang)
Saser Kangri III,7495,24590,Karakoram,India (Ladakh)
Ismoil Somoni Peak,7495,24590,Pamir Mountains,Tajikistan
Pumari Chhish,7492,24580,Karakoram,Pakistan
Noshaq,7492,24580,Hindu Kush,Pakistan/Afghanistan - #1 in Afghanistan
Passu Sar,7476,24528,Karakoram,Pakistan
Jongsong Peak,7462,24482,Himalayas,India/Nepal/China
Malubiting,7458,24469,Karakoram,Pakistan
Gangapurna,7455,24459,Annapurna Himalaya,Nepal
Muchu Chhish (Batura V),7453,24452,Karakoram,Pakistan
Jengish Chokusu,7439,24406,Tian Shan,China/Kyrgyzstan - #1 in Tian Shan
K12,7428,24370,Karakoram,India/Pakistan
Sia Kangri,7422,24350,Karakoram,Pakistan
Momhil Sar,7414,24324,Karakoram,Pakistan
Istor-o-Nal,7403,24288,Hindu Kush,Pakistan
Ghent Kangri,7401,24281,Karakoram,India (Ladakh)/Pakistan
Haramosh Peak,7397,24268,Karakoram,Pakistan
Kabru,7394,24259,Himalayas,Kanchenjunga India (Sikkim)/Nepal
Ultar,7388,24239,Karakoram,Pakistan
Rimo I,7385,24229,Karakoram,India (Ladakh)
Sherpi Kangri,7380,24213,Karakoram,Pakistan
Churen Himal,7371,24183,Himalayas,Nepal
Labuche Kang,7367,24170,Himalayas,near Cho Oyu Nepal/China
Kirat Chuli,7365,24163,Himalayas,Nepal/India (Sikkim) border
Skil Brum,7360,24147,Karakoram,Pakistan - May also be given as 7410m
Abi Gamin,7355,24131,Himalayas,India
Gimmigela Chuli,7350,24114,Himalayas,Nepal/India (Sikkim) border
Saraghrar,7340,24081,Hindu Kush,Pakistan
Bojohagur Duanasir,7329,24045,Karakoram,Pakistan
Chamlang,7319,24012,Himalayas,Khumbu Nepal
Chongtar Kangri,7315,23999,Karakoram,Pakistan
Jomolhari / Chomolhari,7314,23996,Himalayas,Bhutan/China
Baltoro Kangri,7312,23990,Karakoram,Pakistan
Siguang Ri,7308,23976,Himalayas,China
Summa Ri,7302,23957,Himalayas,Pakistan
The Crown,7295,23934,Karakoram,China (Xinjiang)
Gyala Peri,7294,23930,Himalayas,China
Porong Ri,7292,23924,Himalayas,China
Baintha Brakk,7285,23901,Karakoram,Pakistan
Yutmaru Sar,7283,23894,Karakoram,Pakistan
K6,7282,23891,Karakoram,Pakistan - Also known as Baltistan Peak
Kangpenqing,7281,23888,Himalayas,China
Muztagh Tower,7273,23862,Karakoram,Pakistan
Mana Peak,7272,23858,Himalayas,India (Uttarakhand) - SSE of Kamet
Diran,7257,23809,Karakoram,Pakistan
Apsarasas Kangri,7245,23770,Karakoram,China/Pakistan
Langtang Lirung,7227,23711,Himalayas,Nepal
Karjiang,7221,23691,Himalayas,China
Annapurna South,7219,23684,Himalayas,Nepal
Khartaphu,7213,23665,Himalayas,China
Tongshanjiabu,7207,23645,Himalayas,Bhutan/China
Langtang Ri,7205,23638,Himalayas,Nepal/China
Kangphu Kang,7204,23635,Himalayas,Bhutan/China
Singhi Kangri,7202,23629,Himalayas,India/China
Lupghar Sar,7200,23622,Karakoram,Pakistan
Gurja Himal,7193,23599,Himalayas,Nepal
Melungtse,7181,23560,Rolwaling Himalayas,China
Liushi Shan,7167,23514,Kunlun,China - #1 in Kunlun
Baruntse,7162,23497,Himalayas,Khumbu Nepal
Pumori,7161,23494,Himalayas,Khumbu Nepal
Hardeol,7151,23461,Himalayas,India (Uttarakhand)
Gasherbrum V,7147,23448,Karakoram,Pakistan
Latok I,7145,23442,Karakoram,Pakistan
Udren Zom,7140,23425,Hindu Kush,Pakistan
Nemjung,7140,23425,Himalayas,Nepal
Chaukhamba,7138,23419,Himalayas,India (Uttarakhand)
Nun Kun,7135,23409,Karakoram,India(Jammu and Kashmir Ladakh)
Tilicho Peak,7134,23406,Himalayas,Annapurna Himal Nepal
Lenin Peak,7134,23406,Pamir Mountains,Tajikistan-Kyrgyzstan - #2 in Pamirs
Gauri Sankar,7134,23406,Rolwaling Himalayas,Nepal/China
Bularung Sar,7134,23406,Karakoram,Pakistan
Api,7132,23399,Himalayas,Nepal
Pauhunri,7128,23386,Himalayas,India (Sikkim)/China
Teri Kang,7124,23373,Himalayas,Bhutan
Trisul,7120,23360,Himalayas,India (Uttarakhand)
Korzhenevskaya,7105,23310,Pamir Mountains,Tajikistan - #3 in Pamirs
Lunpo Gangri,7095,23278,Himalayas (Gangdise),China
Satopanth,7075,23212,Himalayas,India (Uttarakhand)
Tirsuli,7074,23209,Himalayas,India (Uttarakhand)
Dunagiri,7066,23182,Himalayas,India (Uttarakhand)
Kangto,7060,23163,Himalayas,India (Arunachal Pradesh)/China
Nyegyi Kansang,7047,23120,Himalayas,India (Arunachal Pradesh)/China
Chomolhari Kang,7046,23117,Himalayas,Bhutan
Salasungo,7043,23107,Himalayas,Nepal/China
Link Sar,7041,23100,Karakoram,Pakistan
Shah Dhar,7038,23091,Hindu Kush,Pakistan/Afghanistan
Kezhen Peak,7038,23091,Karakoram,China (Xinjiang)
Saipal,7031,23068,Himalayas,Nepal
Padmanabh,7030,23064,Himalayas,India
Spantik,7027,23054,Karakoram,Pakistan
Khan Tengri,7010,22999,Tian Shan,Kyrgyzstan-Kazakhstan-China - #2 in Tian Shan
